pr_id,user_id,github_username,repo_name,repo_full_name,department,pr_title,pr_state,created_at,merged_at,cycle_time_hours,lines_added,lines_removed,review_count,commit_count,rework_ratio,period
vscode#61281,,MarkPieszak,vscode,microsoft/vscode,Engineering,fix: update vscode component #61281,merged,2021-07-12T07:27:04+00:00,2021-07-13T01:39:03.802632+00:00,18.2,328,41,2,2,0.125,Before
vscode#90186,,theprimeagen,vscode,microsoft/vscode,Engineering,fix: update vscode component #90186,merged,2021-01-21T02:25:14+00:00,2021-01-22T22:08:29.365858+00:00,43.72,1062,898,2,11,0.846,Before
vscode#22546,,kentcdodds,vscode,microsoft/vscode,Engineering,fix: update vscode component #22546,merged,2022-02-28T00:32:26+00:00,2022-03-02T18:28:45.694249+00:00,65.94,1085,30,5,6,0.028,Before
vscode#69501,,benawad,vscode,microsoft/vscode,Engineering,fix: update vscode component #69501,merged,2022-02-15T14:33:10+00:00,2022-02-16T01:33:29.845928+00:00,11.01,122,65,3,8,0.533,Before
vscode#96934,,academind,vscode,microsoft/vscode,Engineering,fix: update vscode component #96934,merged,2020-02-19T12:40:13+00:00,2020-02-21T22:42:48.704655+00:00,58.04,908,612,1,12,0.674,Before
vscode#11892,,timdeschryver,vscode,microsoft/vscode,Engineering,fix: update vscode component #11892,merged,2020-01-16T18:34:03+00:00,2020-01-17T21:20:39.616632+00:00,26.78,1366,1329,4,4,0.973,Before
vscode#74788,,ardeois,vscode,microsoft/vscode,Engineering,fix: update vscode component #74788,merged,2021-04-21T05:27:48+00:00,2021-04-23T01:52:16.611395+00:00,44.41,611,80,4,8,0.131,Before
vscode#98329,,gcanti,vscode,microsoft/vscode,Engineering,fix: update vscode component #98329,merged,2020-01-05T17:48:27+00:00,2020-01-05T21:18:58.288665+00:00,3.51,594,554,7,2,0.933,Before
vscode#99890,,kentcdodds,vscode,microsoft/vscode,Engineering,fix: update vscode component #99890,merged,2020-06-22T16:17:51+00:00,2020-06-22T16:47:51+00:00,0.5,1450,900,4,10,0.621,Before
vscode#34567,,nicolo-ribaudo,vscode,microsoft/vscode,Engineering,fix: update vscode component #34567,merged,2022-03-31T21:20:23+00:00,2022-04-01T09:50:04.903537+00:00,12.49,782,245,6,6,0.313,Before
vscode#33848,,yyx990803,vscode,microsoft/vscode,Engineering,fix: update vscode component #33848,merged,2020-03-14T00:51:12+00:00,2020-03-14T11:15:55.873665+00:00,10.41,1996,1263,6,3,0.633,Before
vscode#80541,,epoberezkin,vscode,microsoft/vscode,Engineering,fix: update vscode component #80541,merged,2021-08-31T15:14:12+00:00,2021-09-02T17:27:29.366291+00:00,50.22,32,32,2,9,1.0,Before
vscode#94499,,broofa,vscode,microsoft/vscode,Engineering,fix: update vscode component #94499,merged,2022-02-04T01:04:53+00:00,2022-02-05T12:15:53.220983+00:00,35.18,126,10,2,2,0.079,Before
vscode#9260,,antirez,vscode,microsoft/vscode,Engineering,fix: update vscode component #9260,merged,2021-08-01T04:04:38+00:00,2021-08-03T08:17:14.937181+00:00,52.21,929,63,8,8,0.068,Before
vscode#1951,,nicolo,vscode,microsoft/vscode,Engineering,fix: update vscode component #1951,merged,2020-07-03T12:01:20+00:00,2020-07-04T11:43:50.850281+00:00,23.71,961,113,5,12,0.118,Before
vscode#63433,,jashkenas,vscode,microsoft/vscode,Engineering,fix: update vscode component #63433,merged,2022-06-07T23:43:31+00:00,2022-06-09T17:30:22.325271+00:00,41.78,1833,92,8,10,0.05,Before
vscode#3929,,addyosmani,vscode,microsoft/vscode,Engineering,fix: update vscode component #3929,merged,2022-05-04T21:27:59+00:00,2022-05-06T00:19:59.525840+00:00,26.87,1922,1368,2,2,0.712,Before
vscode#5240,,pmndrs,vscode,microsoft/vscode,Engineering,fix: update vscode component #5240,merged,2021-01-11T09:23:06+00:00,2021-01-13T19:32:16.700681+00:00,58.15,1336,814,0,4,0.609,Before
vscode#84098,,jashkenas,vscode,microsoft/vscode,Engineering,fix: update vscode component #84098,merged,2021-04-30T08:46:08+00:00,2021-05-02T14:19:37.858102+00:00,53.56,798,111,7,4,0.139,Before
vscode#34654,,jashkenas,vscode,microsoft/vscode,Engineering,fix: update vscode component #34654,merged,2021-04-03T19:58:01+00:00,2021-04-07T08:14:44.129322+00:00,84.28,1851,1447,4,7,0.782,Before
vscode#43947,,jashkenas,vscode,microsoft/vscode,Engineering,fix: update vscode component #43947,merged,2021-06-20T15:20:15+00:00,2021-06-23T10:39:54.000430+00:00,67.33,755,307,2,4,0.407,Before
vscode#55398,,tannerlinsley,vscode,microsoft/vscode,Engineering,fix: update vscode component #55398,merged,2020-11-16T16:40:45+00:00,2020-11-18T23:21:20.815180+00:00,54.68,1212,153,1,6,0.126,Before
vscode#4081,,nicolo-ribaudo,vscode,microsoft/vscode,Engineering,fix: update vscode component #4081,merged,2021-09-29T22:38:23+00:00,2021-10-01T05:14:56.007324+00:00,30.61,841,198,6,4,0.235,Before
vscode#44617,,gvanrossum,vscode,microsoft/vscode,Engineering,fix: update vscode component #44617,merged,2020-12-27T11:29:43+00:00,2020-12-27T17:54:17.460755+00:00,6.41,1052,818,0,8,0.778,Before
vscode#43673,,sindresorhus,vscode,microsoft/vscode,Engineering,fix: update vscode component #43673,merged,2021-04-02T13:57:20+00:00,2021-04-04T01:27:47.279254+00:00,35.51,546,213,5,11,0.39,Before
vscode#31278,,gcanti,vscode,microsoft/vscode,Engineering,fix: update vscode component #31278,merged,2020-01-03T05:40:55+00:00,2020-01-05T19:27:51.345251+00:00,61.78,856,374,4,8,0.437,Before
vscode#86365,,colinhacks,vscode,microsoft/vscode,Engineering,fix: update vscode component #86365,merged,2020-01-31T13:44:03+00:00,2020-02-02T13:54:07.058627+00:00,48.17,1662,804,6,11,0.484,Before
vscode#35700,,antirez,vscode,microsoft/vscode,Engineering,fix: update vscode component #35700,merged,2022-01-15T11:22:20+00:00,2022-01-15T21:28:29.972196+00:00,10.1,1693,425,4,6,0.251,Before
vscode#72769,,colinhacks,vscode,microsoft/vscode,Engineering,fix: update vscode component #72769,merged,2020-08-20T13:21:54+00:00,2020-08-22T05:55:24.233713+00:00,40.56,571,282,4,10,0.494,Before
vscode#75808,,gvanrossum,vscode,microsoft/vscode,Engineering,fix: update vscode component #75808,merged,2020-04-10T16:57:43+00:00,2020-04-12T00:02:32.623667+00:00,31.08,718,25,4,4,0.035,Before
vscode#69253,,nicolo,vscode,microsoft/vscode,Engineering,fix: update vscode component #69253,merged,2021-06-29T12:14:10+00:00,2021-06-30T10:13:29.048734+00:00,21.99,1515,155,0,7,0.102,Before
vscode#48708,,yyx990803,vscode,microsoft/vscode,Engineering,fix: update vscode component #48708,merged,2020-11-20T03:32:25+00:00,2020-11-20T19:27:47.312418+00:00,15.92,537,413,3,3,0.769,Before
vscode#5527,,tannerlinsley,vscode,microsoft/vscode,Engineering,fix: update vscode component #5527,merged,2021-12-09T00:02:37+00:00,2021-12-09T22:18:14.393825+00:00,22.26,185,12,1,3,0.065,Before
vscode#99679,,broofa,vscode,microsoft/vscode,Engineering,fix: update vscode component #99679,merged,2021-10-28T20:03:54+00:00,2021-10-30T16:22:28.553930+00:00,44.31,1602,573,8,5,0.358,Before
vscode#97060,,theprimeagen,vscode,microsoft/vscode,Engineering,fix: update vscode component #97060,merged,2022-01-03T07:14:14+00:00,2022-01-03T07:44:14+00:00,0.5,1466,52,1,10,0.035,Before
vscode#13460,,epoberezkin,vscode,microsoft/vscode,Engineering,fix: update vscode component #13460,merged,2020-09-02T19:17:51+00:00,2020-09-03T21:52:05.961546+00:00,26.57,1914,1240,3,4,0.648,Before
vscode#87352,,broofa,vscode,microsoft/vscode,Engineering,fix: update vscode component #87352,merged,2022-05-30T02:29:01+00:00,2022-05-31T01:20:18.597846+00:00,22.85,1394,310,6,3,0.222,Before
vscode#57163,,nicolo-,vscode,microsoft/vscode,Engineering,fix: update vscode component #57163,merged,2021-05-08T17:35:53+00:00,2021-05-09T19:21:07.614365+00:00,25.75,1794,1131,7,12,0.63,Before
vscode#80630,,kentcdodds,vscode,microsoft/vscode,Engineering,fix: update vscode component #80630,merged,2020-07-04T23:36:26+00:00,2020-07-06T06:37:08.277473+00:00,31.01,237,177,4,10,0.747,Before
vscode#28775,,torvalds,vscode,microsoft/vscode,Engineering,fix: update vscode component #28775,merged,2020-06-16T23:48:36+00:00,2020-06-19T11:38:39.946901+00:00,59.83,1873,1582,0,7,0.845,Before
vscode#70731,,tj,vscode,microsoft/vscode,Engineering,fix: update vscode component #70731,merged,2020-09-26T00:55:39+00:00,2020-09-28T17:19:12.427988+00:00,64.39,1793,489,8,4,0.273,Before
vscode#12702,,ardeois,vscode,microsoft/vscode,Engineering,fix: update vscode component #12702,merged,2020-09-21T00:37:55+00:00,2020-09-22T13:29:44.498586+00:00,36.86,1021,584,7,7,0.572,Before
vscode#58240,,torvalds,vscode,microsoft/vscode,Engineering,fix: update vscode component #58240,merged,2020-07-09T01:22:00+00:00,2020-07-11T01:13:49.119465+00:00,47.86,1406,1173,7,10,0.834,Before
vscode#20573,,broofa,vscode,microsoft/vscode,Engineering,fix: update vscode component #20573,merged,2020-05-12T15:13:50+00:00,2020-05-14T14:20:33.183691+00:00,47.11,1953,1875,3,12,0.96,Before
vscode#33624,,MarkPieszak,vscode,microsoft/vscode,Engineering,fix: update vscode component #33624,merged,2021-05-21T20:15:44+00:00,2021-05-23T16:26:42.945002+00:00,44.18,1167,251,5,4,0.215,Before
vscode#94303,,benawad,vscode,microsoft/vscode,Engineering,fix: update vscode component #94303,merged,2020-05-07T21:02:34+00:00,2020-05-09T23:32:58.309021+00:00,50.51,894,171,7,12,0.191,Before
vscode#47405,,gvanrossum,vscode,microsoft/vscode,Engineering,fix: update vscode component #47405,merged,2020-08-01T06:23:33+00:00,2020-08-02T11:58:44.812486+00:00,29.59,1481,637,4,12,0.43,Before
vscode#88179,,ardeois,vscode,microsoft/vscode,Engineering,fix: update vscode component #88179,merged,2020-02-13T13:30:17+00:00,2020-02-14T19:09:37.221009+00:00,29.66,1634,914,1,7,0.559,Before
vscode#88319,,benawad,vscode,microsoft/vscode,Engineering,fix: update vscode component #88319,merged,2022-05-05T08:16:36+00:00,2022-05-06T18:03:25.963534+00:00,33.78,349,272,2,2,0.779,Before
vscode#22108,,yyx990803,vscode,microsoft/vscode,Engineering,fix: update vscode component #22108,merged,2022-04-12T21:36:07+00:00,2022-04-14T01:54:44.675660+00:00,28.31,800,560,6,4,0.7,Before
vscode#1512,,MarkPieszak,vscode,microsoft/vscode,Engineering,fix: update vscode component #1512,merged,2023-04-08T13:51:50+00:00,2023-04-08T22:26:02.783016+00:00,8.57,276,249,8,7,0.902,After
vscode#87473,,trpc,vscode,microsoft/vscode,Engineering,fix: update vscode component #87473,merged,2023-11-02T02:22:37+00:00,2023-11-02T15:39:32.403552+00:00,13.28,1977,1825,3,3,0.923,After
vscode#19226,,rauchg,vscode,microsoft/vscode,Engineering,fix: update vscode component #19226,merged,2023-12-29T15:07:39+00:00,2024-01-01T04:18:44.660255+00:00,61.18,342,111,4,3,0.325,After
vscode#52477,,meijer-dries,vscode,microsoft/vscode,Engineering,fix: update vscode component #52477,merged,2023-05-23T03:54:41+00:00,2023-05-24T19:49:54.349826+00:00,39.92,1149,439,1,3,0.382,After
vscode#39483,,okonet,vscode,microsoft/vscode,Engineering,fix: update vscode component #39483,merged,2023-03-12T09:37:10+00:00,2023-03-15T14:42:56.319938+00:00,77.1,524,106,2,9,0.202,After
vscode#81088,,torvalds,vscode,microsoft/vscode,Engineering,fix: update vscode component #81088,merged,2023-07-02T19:39:59+00:00,2023-07-04T16:58:08.357804+00:00,45.3,986,355,4,5,0.36,After
vscode#59036,,colinhacks,vscode,microsoft/vscode,Engineering,fix: update vscode component #59036,merged,2023-06-17T15:20:57+00:00,2023-06-18T04:21:32.367325+00:00,13.01,589,92,4,4,0.156,After
vscode#40262,,dhh,vscode,microsoft/vscode,Engineering,fix: update vscode component #40262,merged,2023-01-19T02:44:37+00:00,2023-01-20T00:32:44.818600+00:00,21.8,948,600,6,12,0.633,After
vscode#29433,,sindresorhus,vscode,microsoft/vscode,Engineering,fix: update vscode component #29433,merged,2023-02-25T21:39:30+00:00,2023-02-26T21:19:14.020760+00:00,23.66,383,179,3,11,0.467,After
vscode#99932,,fkling,vscode,microsoft/vscode,Engineering,fix: update vscode component #99932,merged,2022-09-28T13:48:18+00:00,2022-09-29T07:29:38.730338+00:00,17.69,1367,1101,4,12,0.805,After
vscode#77969,,nicolo-,vscode,microsoft/vscode,Engineering,fix: update vscode component #77969,merged,2023-04-07T15:46:03+00:00,2023-04-10T03:32:30.273126+00:00,59.77,253,147,5,1,0.581,After
vscode#35581,,ardeois,vscode,microsoft/vscode,Engineering,fix: update vscode component #35581,merged,2023-08-22T07:09:38+00:00,2023-08-22T13:27:26.390768+00:00,6.3,998,325,2,12,0.326,After
vscode#98503,,pmndrs,vscode,microsoft/vscode,Engineering,fix: update vscode component #98503,merged,2023-08-17T08:06:31+00:00,2023-08-17T08:36:31+00:00,0.5,1616,247,7,1,0.153,After
vscode#14570,,colinhacks,vscode,microsoft/vscode,Engineering,fix: update vscode component #14570,merged,2023-05-19T09:18:25+00:00,2023-05-19T14:57:17.680337+00:00,5.65,1470,1,2,3,0.001,After
vscode#87426,,trpc,vscode,microsoft/vscode,Engineering,fix: update vscode component #87426,merged,2022-07-11T09:50:46+00:00,2022-07-12T16:22:14.444239+00:00,30.52,625,199,7,2,0.318,After
vscode#22628,,feross,vscode,microsoft/vscode,Engineering,fix: update vscode component #22628,merged,2023-01-08T05:00:39+00:00,2023-01-08T14:33:20.662727+00:00,9.54,1906,974,8,5,0.511,After
vscode#57315,,tj,vscode,microsoft/vscode,Engineering,fix: update vscode component #57315,merged,2023-09-17T23:13:43+00:00,2023-09-18T10:34:23.442456+00:00,11.34,1989,264,5,3,0.133,After
vscode#1761,,pmndrs,vscode,microsoft/vscode,Engineering,fix: update vscode component #1761,merged,2023-07-29T00:00:17+00:00,2023-07-30T19:01:06.720904+00:00,43.01,1399,486,6,9,0.347,After
vscode#74357,,matz,vscode,microsoft/vscode,Engineering,fix: update vscode component #74357,merged,2022-10-02T16:47:29+00:00,2022-10-02T17:17:29+00:00,0.5,1501,105,8,3,0.07,After
vscode#78852,,meijer-dries,vscode,microsoft/vscode,Engineering,fix: update vscode component #78852,merged,2022-07-07T13:37:26+00:00,2022-07-08T07:03:58.894137+00:00,17.44,1758,8,8,3,0.005,After
vscode#17957,,timdeschryver,vscode,microsoft/vscode,Engineering,fix: update vscode component #17957,merged,2022-10-31T20:32:42+00:00,2022-10-31T21:02:42+00:00,0.5,83,74,2,11,0.892,After
vscode#19900,,nicolo-ribaudo,vscode,microsoft/vscode,Engineering,fix: update vscode component #19900,merged,2022-09-18T08:05:32+00:00,2022-09-20T13:15:52.280915+00:00,53.17,1225,560,5,11,0.457,After
vscode#11747,,MarkPieszak,vscode,microsoft/vscode,Engineering,fix: update vscode component #11747,merged,2023-01-08T08:18:29+00:00,2023-01-09T07:04:27.804361+00:00,22.77,1015,578,0,12,0.569,After
vscode#22957,,pmndrs,vscode,microsoft/vscode,Engineering,fix: update vscode component #22957,merged,2022-10-20T19:16:40+00:00,2022-10-20T19:46:40+00:00,0.5,277,5,1,1,0.018,After
vscode#22997,,kentcdodds,vscode,microsoft/vscode,Engineering,fix: update vscode component #22997,merged,2022-07-03T00:10:36+00:00,2022-07-04T00:22:47.363532+00:00,24.2,1638,1377,7,10,0.841,After
vscode#75996,,fireship,vscode,microsoft/vscode,Engineering,fix: update vscode component #75996,merged,2023-08-31T01:50:26+00:00,2023-09-01T09:28:03.507815+00:00,31.63,749,474,8,9,0.633,After
vscode#91610,,jonathantneal,vscode,microsoft/vscode,Engineering,fix: update vscode component #91610,merged,2022-12-30T08:13:36+00:00,2022-12-31T01:16:57.610741+00:00,17.06,691,627,3,3,0.907,After
vscode#40275,,matz,vscode,microsoft/vscode,Engineering,fix: update vscode component #40275,merged,2023-05-21T22:20:04+00:00,2023-05-22T23:56:15.120429+00:00,25.6,1731,349,8,1,0.202,After
vscode#85126,,dhh,vscode,microsoft/vscode,Engineering,fix: update vscode component #85126,merged,2023-11-06T22:28:48+00:00,2023-11-07T06:24:02.903897+00:00,7.92,968,484,0,4,0.5,After
vscode#46502,,matz,vscode,microsoft/vscode,Engineering,fix: update vscode component #46502,merged,2023-06-29T17:39:42+00:00,2023-06-30T16:57:55.223004+00:00,23.3,226,201,6,9,0.889,After
vscode#50968,,torvalds,vscode,microsoft/vscode,Engineering,fix: update vscode component #50968,merged,2023-03-02T13:56:25+00:00,2023-03-03T02:39:10.455592+00:00,12.71,313,150,8,9,0.479,After
vscode#89428,,matz,vscode,microsoft/vscode,Engineering,fix: update vscode component #89428,merged,2023-08-31T13:13:15+00:00,2023-09-01T16:42:56.984325+00:00,27.49,1189,331,8,6,0.278,After
vscode#12044,,sindresorhus,vscode,microsoft/vscode,Engineering,fix: update vscode component #12044,merged,2022-09-19T22:16:35+00:00,2022-09-20T01:52:51.551996+00:00,3.6,1947,733,2,11,0.376,After
vscode#76043,,academind,vscode,microsoft/vscode,Engineering,fix: update vscode component #76043,merged,2023-07-22T07:17:38+00:00,2023-07-22T12:16:05.497703+00:00,4.97,103,2,7,12,0.019,After
vscode#15364,,yyx990803,vscode,microsoft/vscode,Engineering,fix: update vscode component #15364,merged,2023-02-01T01:24:54+00:00,2023-02-02T09:14:51.203412+00:00,31.83,1193,574,7,2,0.481,After
vscode#39757,,meijer-dries,vscode,microsoft/vscode,Engineering,fix: update vscode component #39757,merged,2023-04-06T22:26:59+00:00,2023-04-09T15:08:27.984517+00:00,64.69,490,207,7,4,0.422,After
vscode#81434,,gvanrossum,vscode,microsoft/vscode,Engineering,fix: update vscode component #81434,merged,2023-06-22T00:25:19+00:00,2023-06-22T20:23:01.216135+00:00,19.96,267,176,1,3,0.659,After
vscode#91384,,MarkPieszak,vscode,microsoft/vscode,Engineering,fix: update vscode component #91384,merged,2023-02-21T12:18:33+00:00,2023-02-21T17:25:51.916566+00:00,5.12,581,533,4,4,0.917,After
vscode#71907,,colinhacks,vscode,microsoft/vscode,Engineering,fix: update vscode component #71907,merged,2023-12-15T15:45:42+00:00,2023-12-16T01:08:20.169023+00:00,9.38,287,226,7,2,0.787,After
vscode#96965,,fireship,vscode,microsoft/vscode,Engineering,fix: update vscode component #96965,merged,2023-03-08T08:46:28+00:00,2023-03-08T12:42:53.760970+00:00,3.94,1355,377,5,11,0.278,After
vscode#78977,,pmndrs,vscode,microsoft/vscode,Engineering,fix: update vscode component #78977,merged,2023-10-16T05:32:28+00:00,2023-10-18T23:20:32.892325+00:00,65.8,1900,1817,7,2,0.956,After
vscode#7765,,dhh,vscode,microsoft/vscode,Engineering,fix: update vscode component #7765,merged,2023-09-15T16:25:18+00:00,2023-09-16T04:50:25.435564+00:00,12.42,1351,1017,7,2,0.753,After
vscode#98217,,matz,vscode,microsoft/vscode,Engineering,fix: update vscode component #98217,merged,2023-09-30T04:23:33+00:00,2023-10-02T06:39:18.424639+00:00,50.26,1673,170,3,6,0.102,After
vscode#82798,,addyosmani,vscode,microsoft/vscode,Engineering,fix: update vscode component #82798,merged,2022-11-14T12:48:58+00:00,2022-11-15T17:56:12.539581+00:00,29.12,1858,715,1,11,0.385,After
vscode#35826,,torvalds,vscode,microsoft/vscode,Engineering,fix: update vscode component #35826,merged,2023-06-21T05:17:51+00:00,2023-06-23T15:19:41.440369+00:00,58.03,377,103,5,11,0.273,After
vscode#85635,,colinhacks,vscode,microsoft/vscode,Engineering,fix: update vscode component #85635,merged,2022-08-27T07:24:12+00:00,2022-08-27T12:11:11.206407+00:00,4.78,1487,1112,6,4,0.748,After
vscode#36663,,fkling,vscode,microsoft/vscode,Engineering,fix: update vscode component #36663,merged,2022-09-14T14:39:55+00:00,2022-09-16T06:21:11.007812+00:00,39.69,1358,1329,8,8,0.979,After
vscode#16189,,tj,vscode,microsoft/vscode,Engineering,fix: update vscode component #16189,merged,2022-08-03T20:41:51+00:00,2022-08-04T13:31:44.866419+00:00,16.83,632,149,8,9,0.236,After
vscode#81192,,jonathantneal,vscode,microsoft/vscode,Engineering,fix: update vscode component #81192,merged,2023-10-16T02:09:54+00:00,2023-10-17T05:18:30.807712+00:00,27.14,1660,692,1,10,0.417,After
vscode#45014,,tj,vscode,microsoft/vscode,Engineering,fix: update vscode component #45014,merged,2022-10-13T21:55:28+00:00,2022-10-14T16:51:27.630999+00:00,18.93,1385,1189,7,4,0.858,After
vscode#52116,,colinhacks,vscode,microsoft/vscode,Engineering,fix: update vscode component #52116,merged,2022-12-18T19:16:03+00:00,2022-12-18T21:44:22.671744+00:00,2.47,816,669,4,9,0.82,After
vscode#35584,,gvanrossum,vscode,microsoft/vscode,Engineering,fix: update vscode component #35584,merged,2022-09-22T04:39:51+00:00,2022-09-23T01:07:41.670734+00:00,20.46,1625,922,0,12,0.567,After
vscode#8614,,tj,vscode,microsoft/vscode,Engineering,fix: update vscode component #8614,merged,2022-09-01T02:47:23+00:00,2022-09-02T09:14:44.228122+00:00,30.46,1170,1119,1,1,0.956,After
vscode#31828,,kentcdodds,vscode,microsoft/vscode,Engineering,fix: update vscode component #31828,merged,2023-05-05T08:19:33+00:00,2023-05-06T06:28:31.189335+00:00,22.15,570,277,6,6,0.486,After
vscode#75522,,pmndrs,vscode,microsoft/vscode,Engineering,fix: update vscode component #75522,merged,2023-01-13T05:26:13+00:00,2023-01-14T15:25:54.846711+00:00,33.99,1986,1883,1,11,0.948,After
vscode#66612,,okonet,vscode,microsoft/vscode,Engineering,fix: update vscode component #66612,merged,2023-07-25T02:41:25+00:00,2023-07-25T03:11:25+00:00,0.5,256,249,5,2,0.973,After
vscode#46397,,feross,vscode,microsoft/vscode,Engineering,fix: update vscode component #46397,merged,2023-06-05T15:05:03+00:00,2023-06-05T18:45:24.166827+00:00,3.67,1234,230,3,7,0.186,After
vscode#28985,,nicolo,vscode,microsoft/vscode,Engineering,fix: update vscode component #28985,merged,2023-09-13T19:23:09+00:00,2023-09-13T19:53:09+00:00,0.5,1837,1313,5,10,0.715,After
vscode#4751,,feross,vscode,microsoft/vscode,Engineering,fix: update vscode component #4751,merged,2023-12-27T08:26:17+00:00,2023-12-27T17:49:32.357201+00:00,9.39,535,209,4,1,0.391,After
vscode#55578,,academind,vscode,microsoft/vscode,Engineering,fix: update vscode component #55578,merged,2023-08-02T09:37:07+00:00,2023-08-04T22:55:25.712253+00:00,61.31,78,0,5,7,0.0,After
TypeScript#71226,,MarkPieszak,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #71226,merged,2022-04-20T07:29:14+00:00,2022-04-23T04:06:27.897493+00:00,68.62,201,154,3,4,0.766,Before
TypeScript#52033,,epoberezkin,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #52033,merged,2020-05-13T05:21:10+00:00,2020-05-14T03:28:46.489279+00:00,22.13,1563,344,4,1,0.22,Before
TypeScript#59583,,timdeschryver,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #59583,merged,2021-01-04T04:23:03+00:00,2021-01-07T06:47:37.746689+00:00,74.41,1459,98,0,6,0.067,Before
TypeScript#37449,,gvanrossum,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #37449,merged,2022-05-26T00:41:15+00:00,2022-05-28T19:50:09.758481+00:00,67.15,1352,881,8,2,0.652,Before
TypeScript#15451,,matz,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #15451,merged,2020-04-03T11:47:45+00:00,2020-04-04T06:53:37.941567+00:00,19.1,779,458,1,8,0.588,Before
TypeScript#80339,,kentcdodds,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #80339,merged,2021-08-06T20:34:51+00:00,2021-08-08T20:58:27.101247+00:00,48.39,1657,667,0,9,0.403,Before
TypeScript#95938,,ardeois,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #95938,merged,2021-08-17T04:14:15+00:00,2021-08-19T12:06:04.309843+00:00,55.86,682,220,4,10,0.323,Before
TypeScript#78850,,nicolo-ribaudo,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #78850,merged,2021-02-25T19:31:52+00:00,2021-02-27T07:32:27.250418+00:00,36.01,1101,400,1,9,0.363,Before
TypeScript#96788,,colinhacks,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #96788,merged,2021-07-19T22:50:11+00:00,2021-07-22T23:45:24.382792+00:00,72.92,1787,1724,6,12,0.965,Before
TypeScript#61584,,meijer-dries,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #61584,merged,2021-05-31T03:44:28+00:00,2021-06-02T06:21:38.447721+00:00,50.62,513,261,1,3,0.509,Before
TypeScript#96955,,tj,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #96955,merged,2021-09-29T09:59:26+00:00,2021-10-03T02:04:37.169506+00:00,88.09,1069,1052,0,8,0.984,Before
TypeScript#89031,,broofa,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #89031,merged,2022-05-16T16:50:28+00:00,2022-05-21T10:43:38.317220+00:00,113.89,1453,1284,2,1,0.884,Before
TypeScript#6218,,MarkPieszak,TypeScript,microsoft/TypeScript,Engineering,fix: update TypeScript component #6218,merged,2020-05-05T17:05:39+00:00,2020-05-05T17:35:39+00:00,0.5,1235,950,0,8,0.769,Before
