prompt_id,user_id,timestamp,department,model_name,prompt_text,token_count,cost_usd,risk_flag,risk_score,risk_level
LOG934AF29F9EE3,USRE1F7DE232772,2023-08-17T02:47:18,Backend,github-copilot,Help me write documentation for this REST API,516.0,0.00516,0,11.2,Low
LOG33633982FF42,USR2D21388352E6,2023-06-24T17:28:39,Data Science,claude-sonnet-4,"My API key sk-prod-abc123def456 is not working, please debug",1800.0,0.027,1,75.0,Critical
LOG4935B54E01FB,USRAFAAFDE5FE5A,2024-04-21T20:02:39,Security,claude-sonnet-4,Help me debug this error: AttributeError in line 42,1662.0,0.02493,0,9.0,Low
LOGD9E4ABC2EB5C,USR12919CB6AA18,2022-08-10T22:27:23,Security,gemini-2.5-pro,Help me write documentation for this REST API,838.0,0.006704,0,3.8,Low
LOGD70E5E20839D,USR08AA017C8B73,2023-08-31T00:45:52,Data Science,llama-3.3-70b,Optimise this pandas DataFrame merge operation,1617.0,0.003234,0,12.9,Low
LOG8CEE80C5B113,USRF6D19A488EE9,2023-08-22T14:01:20,DevOps,llama-3.3-70b,Design a REST API for a social media platform,635.0,0.00127,0,12.3,Low
LOG689CFDDFB617,USRDE02917CBB9C,2023-10-20T01:01:01,Mobile,gemini-2.5-pro,Review this PR and suggest improvements,3207.0,0.025656,0,7.1,Low
LOGDB1073ACCC4E,USR811A4447AB71,2023-05-05T13:29:06,Backend,github-copilot,Review this PR and suggest improvements,1337.0,0.01337,0,15.0,Low
LOG893E1A8D40B4,USRB544F17BE1A7,2023-04-14T04:09:36,Frontend,github-copilot,Help me debug this error: AttributeError in line 42,1154.0,0.01154,0,7.1,Low
LOGA7568887EA63,USR264F95D783D2,2023-11-21T19:00:52,Backend,gpt-4.1,Draft an email to the client about project delay,1719.0,0.03438,1,37.8,Medium
LOG3C49414DC7A1,USR3AD07D8C1E20,2023-01-31T07:01:29,Backend,gpt-4.1,The SSN 123-45-6789 belongs to employee ID EMP001,1652.0,0.03304,1,67.3,High
LOG89D58CE43DE7,USRBE76BC0BF7E0,2023-07-05T16:46:09,Frontend,gpt-4.1,Write a Terraform module for AWS ECS,969.0,0.01938,0,6.1,Low
LOG83F9283B65B5,USR76CFD1470386,2022-07-13T02:26:14,Backend,claude-haiku-3.5,Optimise this database query for performance,1894.0,0.005682,0,6.9,Low
LOGC5833F56594B,USR469CA53EA1CD,2023-09-29T18:27:50,Engineering,claude-sonnet-4,Help me write documentation for this REST API,949.0,0.014235,0,11.3,Low
LOG028503BCF4C7,USR811A4447AB71,2023-01-10T17:15:08,Backend,gemini-2.5-pro,Generate a regex to validate email addresses,1258.0,0.010064,1,26.0,Medium
LOG331D24081C2A,USR811A4447AB71,2024-06-25T20:46:17,Backend,github-copilot,Generate a monthly report for the board,615.0,0.00615,0,1.8,Low
LOGBFB193648D22,USR8728B58E37EF,2023-04-13T21:29:51,Engineering,claude-haiku-3.5,Write a Python script to parse JSON responses,3405.1235194121086,0.013298870904138779,0,10.6,Low
LOGCC1F10D77062,USRD87734E65182,2023-05-25T10:00:43,Frontend,gpt-4.1,Optimise this pandas DataFrame merge operation,3670.0,0.0734,0,13.7,Low
LOG28F1AE398290,USRBC4D83B98974,2022-12-30T09:00:34,Data Science,claude-haiku-3.5,Explain this SQL query: SELECT * FROM orders WHERE status='pending',5424.181296580284,0.02226777834476551,0,7.5,Low
LOG251910302017,USR55F9F7716F77,2023-08-03T04:19:33,Frontend,github-copilot,Generate a monthly report for the board,1121.0,0.01121,0,3.7,Low
LOGE53B772CB305,USR1227EBCB774A,2024-01-01T15:54:04,Frontend,claude-sonnet-4,What are the security implications of storing JWT in localStorage?,1330.0,0.01995,0,9.0,Low
LOGFBA28F7D7845,USR7E7A9B844F98,2024-03-25T15:24:04,Engineering,github-copilot,What is the best architecture for a microservice handling 10k rps?,348.0,0.00348,0,11.6,Low
LOG1C39253CCB27,USR55F9F7716F77,2024-02-28T08:09:03,Frontend,gpt-4.1,Debug this React component re-rendering issue,3402.0,0.06804,0,7.6,Low
LOG457639C14FBD,USR76CFD1470386,2023-08-25T10:33:19,Backend,gpt-4.1,Translate this function to TypeScript,554.0,0.01108,0,12.6,Low
LOG27AF676D6965,USR4E24796CCF1C,2023-06-12T04:46:40,Backend,claude-sonnet-4,Explain this SQL query: SELECT * FROM orders WHERE status='pending',1605.0,0.024075,0,6.7,Low
LOGD204202135BF,USREF1F9DC2D28C,2023-05-20T16:14:19,DevOps,gpt-4.1,Write a Terraform module for AWS ECS,1959.0,0.03918,0,8.2,Low
LOG2EBBEA53B031,USR32C798E5169A,2023-03-25T11:05:38,Security,github-copilot,Fix this memory leak in the following C++ code,1928.0,0.01928,0,3.6,Low
LOG5DC1B371503E,USR08AA017C8B73,2023-03-27T21:01:46,Data Science,github-copilot,Email john.smith@acmecorp.com about the Q3 merger with ProjectPhoenix,10891.0,0.10891,1,94.6,Critical
LOG12F093EE92D3,USR4E24796CCF1C,2023-06-20T17:35:42,Backend,github-copilot,Implement a binary search tree in Python,12000.0,0.12,0,14.7,Low
LOG02D975727429,USRDB83E5A54F84,2022-08-17T22:55:54,Frontend,gpt-4.1-mini,Create a data pipeline for real-time analytics,2345.0,0.00938,0,5.0,Low
LOGF338BB3A751F,USR811A4447AB71,2023-12-14T03:19:44,Backend,gpt-4.1-mini,What are the security implications of storing JWT in localStorage?,639.0,0.002556,0,6.9,Low
LOG01D005F797C3,USR1227EBCB774A,2022-07-29T02:53:58,Frontend,claude-sonnet-4,Implement a binary search tree in Python,364.0,0.00546,0,14.5,Low
LOG079495A063AE,USR69FD920B8EDB,2023-11-21T00:56:58,Frontend,github-copilot,What is the best architecture for a microservice handling 10k rps?,2240.0,0.0224,0,5.1,Low
LOGF42014BA1A19,USR057732A51A1A,2023-11-06T18:56:05,Data Science,claude-haiku-3.5,Write unit tests for this ML model evaluation pipeline,4761.0,0.014283,0,4.9,Low
LOG92C211583ED7,USR32D3FC0C51F5,2023-06-15T00:00:01,Mobile,claude-sonnet-4,"My password is hunter2, can you check if this code is secure?",3851.0,0.057765,1,42.7,Medium
LOGC1C7F0DC4B00,USRAFAAFDE5FE5A,2023-11-14T14:07:57,Security,gpt-4.1-mini,Help me debug this error: AttributeError in line 42,1900.0,0.0076,0,3.5,Low
LOGC0BB3BD623F5,USR2D21388352E6,2024-06-29T21:32:13,Data Science,llama-3.3-70b,Explain how Kubernetes pod scheduling works,383.0,0.000766,0,1.4,Low
LOG7A62CD9C184D,USR28B2ACCDCE19,2023-05-11T14:46:03,Mobile,gemini-2.5-pro,Fix this memory leak in the following C++ code,1153.0,0.009224,0,13.1,Low
LOGE14C771AF69D,USRE1F7DE232772,2023-02-07T22:46:55,Backend,gemini-2.5-pro,Help me refactor this legacy Java code to use streams,1010.0,0.00808,0,0.4,Low
LOGBD0C71F0E11C,USRE5367FB3B0C2,2023-11-12T13:40:48,Backend,gpt-4.1,Process card 4111-1111-1111-1111 for customer John Smith,630.0,0.0126,1,56.3,High
LOG6862A9CD8309,USR0021F1C8AF83,2023-03-25T03:08:33,DevOps,gpt-4.1-mini,Help me debug this error: AttributeError in line 42,1152.0,0.004608,0,9.1,Low
LOG044B06F04F8F,USRED10A23434C1,2022-09-20T03:54:27,DevOps,gemini-2.5-pro,Generate a monthly report for the board,1693.0,0.013544,0,13.7,Low
LOG4CE3BEBEC76D,USR08AA017C8B73,2023-10-31T22:48:43,Data Science,claude-sonnet-4,What is the best architecture for a microservice handling 10k rps?,1772.0,0.02658,0,6.9,Low
LOG26559C8FC1C3,USR67037F25A82D,2023-05-10T02:26:23,Data Science,github-copilot,"My API key sk-prod-abc123def456 is not working, please debug",960.0,0.0096,1,66.1,High
LOG99E20EF8184E,USREF1F9DC2D28C,2023-04-26T13:41:30,DevOps,llama-3.3-70b,Translate this function to TypeScript,601.0,0.001202,0,9.6,Low
LOG81E4F6BEC32E,USRF33D315A3652,2022-08-22T20:09:39,Frontend,gpt-4.1,Write unit tests for this ML model evaluation pipeline,4017.4963257935415,0.1126047192089701,0,4.5,Low
LOG43EC4FED8261,USR3A29E9F5BB61,2024-06-29T14:12:23,DevOps,claude-sonnet-4,Process card 4111-1111-1111-1111 for customer John Smith,1030.0,0.01545,1,67.9,High
LOG925B087EB085,USR4E24796CCF1C,2023-11-15T16:13:44,Backend,claude-sonnet-4,Write unit tests for this function: {code},1308.0,0.01962,0,8.5,Low
LOGEDF730952AE4,USR6D60B80D261E,2023-12-31T19:00:56,Data Science,gemini-2.5-pro,Summarise the following document: {doc},457.0,0.003656,0,13.7,Low
LOGDEF1782A9876,USR3AD07D8C1E20,2024-02-11T11:49:55,Backend,github-copilot,Help me refactor this legacy Java code to use streams,384.0,0.00384,0,4.3,Low
LOG0D780C2A8B1D,USR08AA017C8B73,2024-01-08T20:58:55,Data Science,claude-haiku-3.5,Process card 4111-1111-1111-1111 for customer John Smith,1705.0,0.005115,1,49.9,Medium
LOGAC439BA620BF,USRB80050CD7911,2023-10-01T23:23:36,Data Science,gemini-2.5-pro,Design a REST API for a social media platform,2103.0,0.016824,0,12.6,Low
LOGA046CE82C495,USR28B2ACCDCE19,2024-02-03T12:45:53,Mobile,github-copilot,Implement a binary search tree in Python,1547.0,0.01547,0,0.6,Low
LOG94284DFA1636,USR811A4447AB71,2024-01-02T14:03:11,Backend,gpt-4.1-mini,Process card 4111-1111-1111-1111 for customer John Smith,1261.0,0.005044,1,56.8,High
LOG75A4693224FF,USR55F9F7716F77,2024-04-11T18:24:34,Frontend,gpt-4.1-mini,Explain this SQL query: SELECT * FROM orders WHERE status='pending',2475.0,0.0099,0,11.8,Low
LOG3E6720A88F42,USR9F8EAC45CEAF,2022-10-06T19:19:49,Frontend,claude-sonnet-4,What are the security implications of storing JWT in localStorage?,2210.0,0.03315,0,4.1,Low
LOG83430305D4E6,USRBE76BC0BF7E0,2023-01-16T05:50:07,Frontend,github-copilot,Generate a monthly report for the board,5740.0,0.0574,0,14.5,Low
LOG0E870D124CB7,USR96F7DDD6124B,2024-06-17T21:37:55,Frontend,github-copilot,Debug this React component re-rendering issue,1650.0,0.0165,0,1.7,Low
LOG41CC9E0A83E8,USR417CBC4EC7E0,2024-06-21T07:12:53,DevOps,gpt-4.1-mini,Write a Python script to parse JSON responses,5900.285640708169,0.02731159271927621,0,12.9,Low
LOG2E67CC4FA5BA,USR9322BCA623D7,2022-12-23T09:51:54,Data Science,claude-sonnet-4,Debug this React component re-rendering issue,2389.0,0.035835,0,5.9,Low
LOG4B5C5BE0B941,USR32D3FC0C51F5,2024-02-29T18:58:10,Mobile,gpt-4.1-mini,Process card 4111-1111-1111-1111 for customer John Smith,1697.0,0.006788,1,68.9,High
LOG59830C9F612F,USRB544F17BE1A7,2023-09-25T05:11:26,Frontend,llama-3.3-70b,Draft an email to the client about project delay,2568.0,0.005136,1,37.2,Medium
LOGD3B5EE4A1F9C,USR9322BCA623D7,2022-07-20T02:27:03,Data Science,gpt-4.1,Help me write documentation for this REST API,2499.0,0.04998,0,3.3,Low
LOG8B5576F199E2,USRB544F17BE1A7,2023-10-18T06:42:01,Frontend,github-copilot,What are the security implications of storing JWT in localStorage?,607.0,0.00607,0,10.5,Low
LOGCCD021A32737,USRC3682D17A951,2023-01-23T09:46:01,Engineering,gpt-4.1-mini,Summarise the following document: {doc},797.0,0.003188,0,14.2,Low
LOG82B241F31107,USR3AD07D8C1E20,2022-09-14T08:57:40,Backend,gpt-4.1-mini,Write a Python script to parse JSON responses,1031.0,0.004124,0,13.3,Low
LOGB7C18A4D00D4,USR98EA4FEF5EF4,2023-11-23T23:24:09,Backend,claude-sonnet-4,Design a REST API for a social media platform,749.0,0.011235,0,14.2,Low
LOGC88CCDCF5BC1,USRAFAAFDE5FE5A,2024-04-18T17:18:33,Security,claude-sonnet-4,Explain how Kubernetes pod scheduling works,324.0,0.00486,0,10.9,Low
LOG4DABF17F72A2,USR55F9F7716F77,2023-04-13T23:49:53,Frontend,claude-haiku-3.5,Optimise this pandas DataFrame merge operation,3009.0,0.009027,0,7.3,Low
LOG3A50A5BB13B1,USR6B723996EA89,2023-03-09T16:57:28,Backend,gpt-4.1-mini,Process card 4111-1111-1111-1111 for customer John Smith,1867.0,0.007468,1,53.5,High
LOG804EBC3E6990,USR28B2ACCDCE19,2023-04-06T05:51:39,Mobile,llama-3.3-70b,Process card 4111-1111-1111-1111 for customer John Smith,2000.0,0.004,1,68.2,High
LOG4F2B185A1E9E,USR6B723996EA89,2022-08-11T04:54:59,Backend,gpt-4.1-mini,Draft an email to the client about project delay,3997.0,0.015988,1,46.6,Medium
LOGC06115CB858A,USR4E24796CCF1C,2022-06-17T14:07:54,Backend,gpt-4.1-mini,Implement a binary search tree in Python,440.0,0.00176,0,9.0,Low
LOG20CD80F60F8E,USR91BFEDF09760,2024-02-02T06:20:06,Security,github-copilot,Write a Python script to parse JSON responses,973.0,0.00973,0,14.8,Low
LOGC29BA91A5AED,USRBE88ECB7B8F6,2022-11-08T21:41:35,DevOps,gpt-4.1-mini,Optimise this pandas DataFrame merge operation,2738.0,0.010952,0,11.5,Low
LOGC93528D6D530,USRB73B037AD730,2023-09-06T21:54:10,Mobile,gpt-4.1-mini,Write unit tests for this ML model evaluation pipeline,33463.72505133132,0.17033938346926272,0,3.5,Low
LOGEF453A0C93B0,USR76CFD1470386,2023-07-25T14:20:45,Backend,gpt-4.1,Explain this SQL query: SELECT * FROM orders WHERE status='pending',964.0,0.01928,0,14.8,Low
LOGB22FDB0BC744,USRBE76BC0BF7E0,2022-06-12T13:00:59,Frontend,github-copilot,Draft an email to the client about project delay,679.0,0.00679,1,30.3,Medium
LOG1501753B548D,USR2A03B927127E,2022-06-13T06:10:50,Engineering,github-copilot,Write a Python script to parse JSON responses,1160.0,0.0116,0,8.8,Low
LOG2EE8A7292EAE,USR7665A1043EBC,2023-07-14T14:56:42,Data Science,gpt-4.1,Explain this SQL query: SELECT * FROM orders WHERE status='pending',592.0,0.01184,0,11.1,Low
LOGEA627BD0DBB4,USR75DB4C956353,2023-03-09T04:53:44,Backend,gemini-2.5-pro,Generate a monthly report for the board,4865.0,0.03892,0,6.7,Low
LOG74EBE1F162A6,USRD84512CF5310,2024-01-30T08:24:33,DevOps,claude-haiku-3.5,"My API key sk-prod-abc123def456 is not working, please debug",4640.0,0.01392,1,62.4,High
LOGDBA2534EEC4F,USR4E24796CCF1C,2024-03-20T02:47:22,Backend,claude-sonnet-4,"My API key sk-prod-abc123def456 is not working, please debug",670.0,0.01005,1,65.1,High
LOG7FED19221400,USREAF9015B5225,2022-07-28T01:57:58,DevOps,claude-sonnet-4,Draft an email to the client about project delay,665.0,0.009975,1,41.0,Medium
LOG2BC260275D9B,USR1F1C8F224AEC,2022-12-31T14:40:11,Engineering,gpt-4.1,Explain this SQL query: SELECT * FROM orders WHERE status='pending',1071.0,0.02142,0,1.0,Low
LOG5EB3C60D80DC,USRED10A23434C1,2023-03-23T20:34:21,DevOps,claude-haiku-3.5,Optimise this database query for performance,810.0,0.00243,0,10.7,Low
LOGA7FDB06E5A84,USRD87C16B4D444,2024-04-12T17:37:46,Security,claude-sonnet-4,"My API key sk-prod-abc123def456 is not working, please debug",2734.3543462488365,0.03443539483808947,1,65.9,High
LOGF98AC8BD0861,USRB84E49DCC2EA,2023-02-19T06:08:35,Backend,claude-haiku-3.5,Write unit tests for this ML model evaluation pipeline,26741.922892375016,0.10451195394950027,0,3.2,Low
LOGAACB286BB90B,USR65D56B978DF2,2023-04-28T11:27:27,DevOps,claude-sonnet-4,Explain how Kubernetes pod scheduling works,2065.0,0.030975,0,1.4,Low
LOGB4EC062E0172,USR2CEBE6C7D0EF,2022-08-10T20:33:11,Mobile,gemini-2.5-pro,Process card 4111-1111-1111-1111 for customer John Smith,603.0,0.004824,1,71.7,High
LOG945A06DA5560,USR1F1C8F224AEC,2022-09-10T01:31:40,Engineering,gpt-4.1-mini,Draft an email to the client about project delay,6202.0,0.024808,1,36.8,Medium
LOGDCC286DD127B,USR9322BCA623D7,2023-11-03T09:57:09,Data Science,gpt-4.1-mini,Optimise this database query for performance,4108.0,0.016432,0,8.4,Low
LOG7F13C41FAFE1,USRBC4D83B98974,2023-12-13T01:32:43,Data Science,claude-sonnet-4,Write unit tests for this ML model evaluation pipeline,3249.5484046686506,0.059492161666047746,0,10.0,Low
LOGD3E48F3AF218,USR91BFEDF09760,2022-08-20T11:15:16,Security,llama-3.3-70b,Help me write documentation for this REST API,1427.0,0.002854,0,4.7,Low
LOGF1E97DAF3409,USR14AE0E036EEE,2022-11-22T04:13:38,Engineering,claude-sonnet-4,Explain this SQL query: SELECT * FROM orders WHERE status='pending',341.0,0.005115,0,9.9,Low
LOG9181EA9F5700,USR2B0E94085C89,2024-02-17T23:41:49,Security,gpt-4.1,Optimise this database query for performance,10752.01571809252,0.2944961489840089,0,5.5,Low
LOG63E46D174586,USR65891F723BA2,2023-09-20T13:50:05,Mobile,github-copilot,Write a Terraform module for AWS ECS,1058.0,0.01058,0,12.3,Low
LOG254B9DC55DFE,USR3D42EBB0CF92,2023-10-24T22:51:46,DevOps,claude-haiku-3.5,Write unit tests for this function: {code},550.0,0.00165,0,9.1,Low
LOGAA1F7FBC36A3,USRF33D315A3652,2023-02-28T15:33:03,Frontend,gpt-4.1,Review this PR and suggest improvements,444.0737031970423,0.010715449869324468,0,4.1,Low
LOGA6AB657AC970,USR76CFD1470386,2023-04-08T07:09:42,Backend,gpt-4.1-mini,Explain this SQL query: SELECT * FROM orders WHERE status='pending',2197.0,0.008788,0,8.5,Low
LOG16FD1DE4711C,USRAD008551D068,2022-08-11T06:29:13,Data Science,gpt-4.1-mini,Implement a binary search tree in Python,375.0,0.0015,0,14.6,Low
LOG3650617727A7,USR96F7DDD6124B,2023-12-13T11:31:25,Frontend,claude-sonnet-4,The SSN 123-45-6789 belongs to employee ID EMP001,550.0,0.00825,1,57.0,High
LOG4A1B3A2F3B10,USR32C798E5169A,2024-04-17T02:41:30,Security,gemini-2.5-pro,Create a data pipeline for real-time analytics,599.0,0.004792,0,8.9,Low
LOGA95035028424,USR91BFEDF09760,2023-11-06T11:41:14,Security,gpt-4.1-mini,Write a Terraform module for AWS ECS,831.0,0.003324,0,9.3,Low
LOG418ACA2EB070,USR1F1C8F224AEC,2023-09-15T12:43:01,Engineering,gpt-4.1,Design a REST API for a social media platform,3279.0,0.06558,0,6.4,Low
LOG795F084088DD,USR811A4447AB71,2023-04-30T22:10:15,Backend,claude-sonnet-4,Generate a regex to validate email addresses,1071.0,0.016065,1,33.0,Medium
LOGB3B7FAEDA38F,USR75DB4C956353,2023-07-15T06:45:49,Backend,gpt-4.1,Design a REST API for a social media platform,4518.0,0.09036,0,8.9,Low
LOGC0544F905AF9,USRCBD063DEE86F,2023-09-09T12:13:37,Data Science,gpt-4.1,Write a Python script to parse JSON responses,1625.0,0.0325,0,5.9,Low
LOGB45FDDEBE187,USRE5367FB3B0C2,2024-01-18T00:25:55,Backend,gpt-4.1-mini,Translate this function to TypeScript,2052.0,0.008208,0,14.2,Low
LOGFC46CAB5B472,USR7E7A9B844F98,2022-06-07T00:05:45,Engineering,gemini-2.5-pro,Translate this function to TypeScript,1362.0,0.010896,0,4.9,Low
LOGEEA36A32533F,USR3AD07D8C1E20,2023-07-19T16:03:16,Backend,gemini-2.5-pro,Review this PR and suggest improvements,1162.0,0.009296,0,1.9,Low
LOG32B23541C3A5,USR5CF2F87353D0,2024-02-17T04:39:38,Security,gpt-4.1,Optimise this database query for performance,797.0,0.01594,0,12.5,Low
LOGD15A71495E10,USR2A03B927127E,2023-05-05T19:43:21,Engineering,gpt-4.1-mini,Write unit tests for this ML model evaluation pipeline,856.0,0.003424,0,11.1,Low
LOG3B6B206512C4,USRF6D19A488EE9,2023-08-22T04:55:43,DevOps,claude-sonnet-4,Help me debug this error: AttributeError in line 42,867.0,0.013005,0,12.9,Low
LOGF665FBA26D3D,USR65891F723BA2,2023-01-11T20:57:16,Mobile,claude-haiku-3.5,Fix this memory leak in the following C++ code,267.0,0.000801,0,9.6,Low
LOGDF3C2C72C329,USR75DB4C956353,2023-05-24T08:49:40,Backend,claude-sonnet-4,"My password is hunter2, can you check if this code is secure?",3344.0,0.05016,1,36.8,Medium
LOGA2E48531695A,USRF33D315A3652,2023-04-08T00:55:32,Frontend,github-copilot,Help me debug this error: AttributeError in line 42,3719.278056637991,0.03377306009390119,0,6.6,Low
LOG157730D635CA,USR6A73A858FF5E,2023-02-19T16:59:10,Frontend,gpt-4.1-mini,Write unit tests for this ML model evaluation pipeline,348.0,0.001392,0,4.7,Low
LOG4D259F2520DE,USRF5B9CFFCC803,2023-10-05T20:09:48,Backend,gpt-4.1,Review this PR and suggest improvements,3092.0,0.06184,0,1.1,Low
LOG6C6FF47B88F1,USR75DB4C956353,2023-12-17T23:19:45,Backend,claude-sonnet-4,Generate a regex to validate email addresses,1604.0,0.02406,1,38.8,Medium
LOG98DE186EEA76,USRB55181A56CF0,2022-12-16T19:35:36,Mobile,github-copilot,Write a Python script to parse JSON responses,1693.0,0.01693,0,1.5,Low
LOG641201A82D11,USR495C09F2AC5F,2024-01-22T06:55:57,Frontend,gpt-4.1-mini,Explain this SQL query: SELECT * FROM orders WHERE status='pending',1112.5216718920342,0.006767720835000605,0,11.4,Low
LOG786B72A9F51F,USR8728B58E37EF,2024-04-16T02:34:09,Engineering,claude-sonnet-4,Write a Terraform module for AWS ECS,10957.792525872726,0.19365858247891268,0,8.5,Low
LOG5872A6FC3862,USRBE88ECB7B8F6,2024-06-24T04:14:59,DevOps,claude-haiku-3.5,Help me write documentation for this REST API,423.0,0.001269,0,4.8,Low
LOGEEB41F04FAF0,USR8728B58E37EF,2023-06-30T01:26:42,Engineering,gpt-4.1,"My API key sk-prod-abc123def456 is not working, please debug",9431.661515417389,0.2338771245103605,1,52.2,High
LOGDC80D38C9154,USR417CBC4EC7E0,2022-08-10T03:14:55,DevOps,gpt-4.1,"My API key sk-prod-abc123def456 is not working, please debug",958.7126674756742,0.021183304128136786,1,50.4,High
